"v:0","v:1","v:2","Points:0","Points:1","Points:2"
-0.0681,0.029832,4.5705e-05,0.040678,0.023508,0.0014834
-0.070371,0.029057,3.5224e-06,0.041021,0.02245,0.001503
-0.069235,0.029282,1.2188e-05,0.040925,0.02301,0.00054584
-0.07144,0.026853,-3.6539e-05,0.042006,0.021985,0.0015136
-0.071371,0.02813,-3.0866e-05,0.041435,0.022048,0.00057878
-0.068503,0.027429,2.2329e-05,0.04175,0.023316,0.0014501
-0.069511,0.02649,1.9034e-05,0.042156,0.022865,0.00054594
-0.069896,0.024977,1.8906e-06,0.042844,0.022673,0.0016223
-0.071423,0.02308,1.4005e-05,0.043689,0.021993,0.0015232
-0.070127,0.023961,-4.9033e-05,0.043298,0.022584,0.00055205
-0.068127,0.022599,2.956e-05,0.043904,0.02349,0.00054585
-0.069022,0.022465,3.9439e-05,0.04397,0.023038,0.0016462
-0.070478,0.021578,3.1971e-05,0.044353,0.022435,0.00078107
-0.068361,0.020145,6.1995e-06,0.044984,0.023379,0.00064164
-0.070623,0.019144,-2.838e-05,0.045415,0.022383,0.00054539
-0.069775,0.01885,-6.2413e-05,0.045594,0.022737,0.0015598
-0.069197,0.016713,-0.00010713,0.046328,0.022942,0.00074582
-0.070792,0.016589,-0.00013901,0.046565,0.02224,0.0015447
-0.068956,0.01504,3.3084e-05,0.047275,0.023061,0.0014545
-0.070385,0.015027,-9.25e-05,0.047284,0.02246,0.00054576
-0.05756,0.010137,9.0689e-05,0.047515,0.023612,0.00054578
-0.071322,0.012749,1.4742e-05,0.048302,0.022072,0.0005475
-0.069009,0.011889,1.308e-05,0.048696,0.023088,0.00054586
-0.070342,0.011645,4.0039e-05,0.048799,0.022482,0.0014457
-0.071186,0.0083171,-1.4849e-05,0.050306,0.022108,0.0013488
-0.064263,0.04804,3.8526e-05,0.032502,0.025251,0.00054591
-0.065001,0.044089,-0.00042911,0.034248,0.0247,0.00078154
-0.067769,0.039889,-2.2784e-06,0.036162,0.023677,0.00054583
-0.06706,0.042216,-1.1588e-05,0.035116,0.023984,0.00054589
-0.06542,0.041979,7.0625e-05,0.035149,0.024666,0.0013945
-0.065336,0.040463,9.6642e-06,0.035904,0.024734,0.00061179
-0.067583,0.035868,9.9539e-06,0.037979,0.023682,0.00054566
-0.065111,0.038305,-1.3251e-05,0.036861,0.024797,0.0014834
-0.066345,0.037775,-2.6605e-05,0.037069,0.024281,0.00054612
-0.066378,0.034989,3.7209e-05,0.038412,0.02422,0.0014168
-0.067025,0.033578,-2.4513e-05,0.039027,0.023996,0.00054582
-0.066453,0.031632,-4.0601e-05,0.039915,0.024215,0.001158
-0.066962,0.028464,6.973e-05,0.041282,0.024022,0.00073614
-0.067155,0.026063,1.9284e-05,0.042352,0.023937,0.00054559
-0.065692,0.025868,2.1971e-05,0.042444,0.024585,0.0014162
-0.067625,0.024481,3.4001e-05,0.043069,0.023697,0.0013297
-0.066586,0.022261,7.8369e-05,0.044054,0.02416,0.0013917
-0.066012,0.016855,-0.0014561,0.046205,0.023639,0.0015742
-0.091265,0.012589,3.6681e-05,0.048359,0.013165,0.0023471
-0.092567,0.010594,2.7164e-05,0.049253,0.012585,0.0020632
-0.091141,0.010556,2.4354e-05,0.049259,0.013221,0.0029581
-0.09346,0.0098561,1.8571e-05,0.049581,0.012183,0.0030199
-0.091596,0.0084469,8.968e-06,0.050212,0.01301,0.0023427
-0.093732,0.0075229,8.4661e-06,0.050625,0.012056,0.0027396
-0.09081,0.0064437,6.9893e-07,0.051119,0.013359,0.0028298
-0.092742,0.0055822,-3.184e-06,0.051497,0.012494,0.002257
-0.091258,0.004066,-1.1089e-05,0.052185,0.013152,0.0027858
-0.093846,0.0036806,-1.7567e-05,0.052356,0.011993,0.0027003
-0.088208,0.015805,-2.6151e-05,0.046943,0.014529,0.0030239
-0.088473,0.015449,-2.0282e-05,0.04708,0.01442,0.0019492
-0.087162,0.013648,2.2477e-05,0.047885,0.015006,0.0024632
-0.089073,0.012414,3.2238e-05,0.048448,0.014143,0.0028141
-0.086757,0.012151,4.0689e-05,0.048557,0.015182,0.0033152
-0.087246,0.011135,2.5502e-05,0.049009,0.014953,0.0023507
-0.090161,0.010695,1.6309e-05,0.049203,0.013653,0.001863
-0.089368,0.008879,1.5896e-05,0.050009,0.01401,0.0029167
-0.087278,0.0086894,2.5608e-05,0.050099,0.014932,0.0023424
-0.089427,0.0083179,2.5261e-06,0.050268,0.013977,0.0018462
-0.087481,0.0067754,7.3318e-06,0.050956,0.014833,0.0030714
-0.08787,0.0064525,1.428e-05,0.051099,0.014663,0.002005
-0.088848,0.0049391,9.005e-06,0.051784,0.014215,0.0027237
-0.089966,0.0043663,1.0628e-05,0.052042,0.013734,0.0016886
-0.087201,0.0026237,4.5131e-06,0.052819,0.014937,0.0031641
-0.089403,0.002681,-4.6326e-06,0.052804,0.013971,0.0024298
-0.084661,0.021511,2.1099e-05,0.044411,0.016151,0.0024411
-0.084969,0.019769,6.3972e-06,0.04518,0.016029,0.0016744
-0.083337,0.019567,-4.3134e-05,0.045257,0.016709,0.0028413
-0.086007,0.019484,-5.0994e-05,0.045295,0.015547,0.0026452
-0.084487,0.017545,-4.3157e-05,0.046139,0.016204,0.0024478
-0.086482,0.017398,-1.1505e-05,0.046223,0.015315,0.0032483
-0.086265,0.015895,-1.1969e-05,0.046881,0.015412,0.0023528
-0.084117,0.015269,7.9169e-06,0.047157,0.016366,0.0027992
-0.083571,0.013458,1.0476e-05,0.047972,0.016607,0.0016991
-0.084827,0.012989,1.6177e-05,0.048179,0.016044,0.0026081
-0.084308,0.011009,1.6556e-05,0.049068,0.016267,0.0019629
-0.083777,0.010986,1.8e-05,0.049076,0.016497,0.003027
-0.085934,0.0098942,2.1113e-05,0.049569,0.015529,0.003084
-0.084048,0.0087413,3.1868e-05,0.05008,0.016355,0.0025929
-0.085526,0.0069336,3.8912e-05,0.050888,0.015692,0.0022889
-0.083121,0.0065042,1.3396e-05,0.051079,0.016756,0.0024212
-0.086033,0.0043847,6.2984e-06,0.052031,0.015458,0.0026202
-0.083126,0.0041458,6.9819e-06,0.052133,0.016756,0.0026983
-0.084751,0.0028886,3.7835e-06,0.052702,0.016022,0.0032662
-0.079158,0.026543,-3.8747e-05,0.042148,0.018562,0.0032174
-0.081158,0.024883,-4.2058e-05,0.042881,0.017695,0.0025244
-0.083023,0.023282,-4.6719e-05,0.043597,0.016885,0.0024075
-0.079871,0.022704,-7.5592e-05,0.043838,0.018259,0.0024278
-0.081561,0.022457,-7.0025e-05,0.043956,0.017517,0.0032168
-0.081926,0.021075,-4.4686e-05,0.044571,0.017358,0.0022977
-0.080435,0.01909,-4.7772e-05,0.045443,0.018008,0.0023483
-0.082108,0.017338,-3.9896e-05,0.046232,0.017267,0.0022325
-0.079845,0.016937,-1.1274e-05,0.046411,0.018274,0.0027728
-0.081919,0.016019,-4.8238e-06,0.04682,0.017339,0.0031553
-0.08069,0.014845,9.1755e-06,0.047352,0.017888,0.00238
-0.082458,0.013465,1.8226e-05,0.047967,0.017095,0.0028051
-0.080045,0.01228,1.4729e-05,0.048499,0.018161,0.0028069
-0.082002,0.011356,1.7723e-05,0.048911,0.01729,0.0022999
-0.079369,0.0099212,-3.8643e-06,0.049552,0.018451,0.0025011
-0.081629,0.0090166,9.1062e-06,0.04995,0.017436,0.0025937
-0.07993,0.0073034,1.2946e-05,0.050721,0.018205,0.0025503
-0.081071,0.0052274,-1.8443e-05,0.051656,0.017677,0.0023509
-0.079881,0.0043242,-4.186e-05,0.052069,0.018212,0.0032235
-0.081128,0.0027774,-7.2557e-06,0.052733,0.017658,0.0025107
-0.075895,0.032334,2.4727e-05,0.039597,0.020022,0.0021593
-0.07691,0.03002,1.74e-05,0.040616,0.019565,0.0026434
-0.078371,0.028442,9.9011e-06,0.041309,0.018916,0.0021103
-0.079203,0.026015,-5.1022e-05,0.042377,0.018566,0.0021097
-0.076843,0.026539,-0.00013375,0.042172,0.019603,0.0023735
-0.075557,0.025449,-9.8222e-05,0.042593,0.02015,0.0032165
-0.078061,0.02428,-0.00011806,0.043148,0.019055,0.0027055
-0.075635,0.024029,-3.2783e-05,0.043233,0.020134,0.002211
-0.075859,0.022993,-0.0001004,0.043677,0.020013,0.0031983
-0.075559,0.021643,-6.4796e-05,0.044321,0.020151,0.0023303
-0.07791,0.021154,-7.7616e-05,0.044533,0.019109,0.0025623
-0.078959,0.019217,-4.755e-05,0.045387,0.018653,0.0032231
-0.077425,0.018785,-3.6836e-05,0.045586,0.019319,0.0023841
-0.075406,0.017422,-2.4417e-05,0.046195,0.020213,0.0025078
-0.078014,0.01579,-5.1258e-06,0.046926,0.019073,0.0022414
-0.076671,0.015895,-6.6469e-06,0.046875,0.019662,0.0031557
-0.078374,0.013656,6.7406e-07,0.047886,0.018905,0.0033156
-0.078842,0.012857,9.2071e-06,0.048228,0.018713,0.0019074
-0.068163,0.013342,0.0019901,0.04807,0.01961,0.0025053
-0.07637,0.011664,5.6492e-05,0.048777,0.019816,0.0016755
-0.075419,0.011522,2.4024e-05,0.04884,0.020215,0.0033186
-0.077921,0.010845,5.9282e-06,0.049134,0.019095,0.0032742
-0.076583,0.0097558,1.0147e-05,0.049621,0.019682,0.0024966
-0.078043,0.0083892,4.6358e-06,0.050236,0.019031,0.0031182
-0.075363,0.0078182,2.1492e-05,0.05051,0.020246,0.0029155
-0.078079,0.0075488,9.1537e-06,0.050619,0.019053,0.0018745
-0.076585,0.0060517,-7.0095e-05,0.051304,0.019733,0.0023778
-0.07807,0.0059873,1.4284e-05,0.051317,0.019017,0.0032424
-0.078582,0.004805,-3.4615e-07,0.05186,0.018794,0.0023256
-0.07566,0.0037164,-0.00034476,0.052354,0.020214,0.0016745
-0.076629,0.0038219,-0.00010787,0.052303,0.019714,0.0028132
-0.077806,0.0029711,-9.506e-05,0.052721,0.019188,0.0017298
-0.078628,0.0025573,-4.1672e-06,0.052864,0.018783,0.0027448
-0.071611,0.038462,-3.0373e-05,0.036814,0.021928,0.0029325
-0.072254,0.03711,-3.7993e-05,0.037429,0.021652,0.0020764
-0.072885,0.03573,-1.9737e-05,0.038031,0.021352,0.0030831
-0.073354,0.034992,3.2306e-05,0.038385,0.021154,0.0019231
-0.073554,0.033509,2.856e-05,0.039035,0.021049,0.0027901
-0.074986,0.031441,1.7374e-06,0.039953,0.020417,0.0031104
-0.074911,0.030027,-6.1073e-05,0.040603,0.02047,0.0020379
-0.072984,0.031454,-4.06e-05,0.03997,0.021316,0.0023007
-0.072286,0.028695,-7.3024e-06,0.041181,0.021616,0.00254
-0.075271,0.028253,-0.00014614,0.041418,0.020298,0.0027406
-0.073138,0.026731,-2.6719e-05,0.042054,0.021208,0.003095
-0.074342,0.026179,-5.4679e-05,0.042297,0.02069,0.0021687
-0.07189,0.02483,2.2471e-05,0.042903,0.02177,0.0022444
-0.073677,0.023971,-0.00010484,0.043243,0.020973,0.0029233
-0.072526,0.022233,-1.4782e-05,0.044055,0.021498,0.0024213
-0.074085,0.021405,-2.3342e-05,0.044415,0.020815,0.003189
-0.075341,0.019304,4.0142e-06,0.04535,0.020265,0.0032804
-0.074125,0.019651,1.0616e-05,0.045198,0.020802,0.0023455
-0.072078,0.019828,3.5395e-05,0.045117,0.021715,0.0029335
